"Description","GeneRatio","p.adjust","Count","cluster","geneID"
"leg disc development",0.0228706624605678,0.00061481843153435,29,"I","Dll/btd/disco/fj/hth/kto/Sos/odd/ovo/pnt/skd/Egfr/tsh/vg/vn/hh/C15/bowl/noc/bab2/RhoGAP15B/RhoGAP68F/RhoGAP92B/Drak/mid/d/CG43658/Bx/ds"
"neural precursor cell proliferation",0.0228706624605678,0.00148721867992461,29,"I","btd/E(z)/Hsp83/wor/E(spl)mdelta-HLH/E(spl)mgamma-HLH/pnt/sna/pros/hh/dpn/jar/babo/insc/wts/klu/Apc/Dap160/msps/Fmr1/SoxN/erm/clu/nub/bun/Mob4/Dhc64C/wake/InR"
"neuron recognition",0.0228706624605678,0.0114538553567379,29,"I","Sos/robo2/trc/Nrt/Ten-m/zfh1/robo1/comm/Sema1a/fra/shot/drl/Vang/fz2/WASp/stan/Fmr1/CG8668/beat-IIIc/p130CAS/dsd/SCAR/bchs/mid/sli/ab/Mtp/Ten-a/Sac1"
"cellular component assembly involved in morphogenesis",0.0228706624605678,0.0632377233241987,29,"I","Cf2/dpp/emc/fliI/Jra/Egfr/ttk/hh/hep/scat/bnl/mirr/Shark/Rbf/CG13366/Cdc7/slpr/kon/mip120/Cad74A/RecQ4/Mical/Lasp/bun/C3G/Ppcs/RanBPM/hts/vas"
"oocyte construction",0.0226515656229181,0.00011693549280056,68,"II","aub/baz/BicD/Pka-C1/chic/cni/cup/ea/flw/fs(1)K10/grk/egh/dlg1/wek/l(2)gl/mago/ndl/Ras85D/spir/spn-E/spz/Sry-delta/stau/swa/Tm1/Hrb27C/enc/orb/heph/Syx1A/Lis-1/Rab11/csul/mael/14-3-3epsilon/asun/chb/DCTN2-p50/Vps25/Rok/gus/Grip75/CSN5/papi/tsu/tej/krimp/TBCB/DCP1/CG7483/Lkb1/CG9925/armi/spn-F/Pka-R1/capt/lic/aPKC/cic/milt/psq/vret/scrib/sqd/jvl/qin/rump/Ge-1"
"spindle organization",0.0223184543637575,2.61756589147518e-05,67,"II","asp/aurA/Axs/Grip91/ifc/mud/Myb/ncd/polo/sub/Pp1-87B/mts/fwd/Klp61F/Klp67A/PCNA/dia/Wee1/Mtor/Lis-1/Ran/chb/Nup154/DCTN2-p50/aurB/fws/dgt4/Rok/Grip75/Grip163/Eb1/wdb/Tnks/ball/CHORD/Aladin/Klp10A/Wdr62/CG2955/BuGZ/Grip71/dgt5/mars/dgt3/Slik/mad2/nudE/mop/Lkb1/dgt6/pont/Chro/Tap42/Synd/tum/DCTN6-p27/Spc25/bora/Pp2A-29B/mei-38/Incenp/grp/Patronin/Det/smt3/ghi/sau"
"positive regulation of cell development",0.0220820189274448,0.00012277010634653,28,"I","Ama/Hsp83/E(spl)mgamma-HLH/oc/pros/hh/Sox14/dpn/babo/klu/shot/gcm/Vang/Dap160/stan/Sec71/Fmr1/lva/Orcokinin/yki/RIOK2/bun/Mob4/Dhc64C/Sec23/Myc/dar1/InR"
"negative regulation of cell differentiation",0.0220820189274448,0.00105138279681071,28,"I","Abd-B/aop/eya/pnt/srp/ttk/ush/pros/zfh1/Sema1a/wts/bnl/gcm/sty/chn/gcm2/Fmr1/erm/C1GalTA/Socs36E/bun/salm/kibra/S6kII/Kr-h1/wg/Sema5c/btl"
"morphogenesis of a polarized epithelium",0.0220820189274448,0.00264330183988579,28,"I","aop/ec/fj/ft/Jra/peb/pnt/Egfr/mirr/sty/SMC3/rin/Vang/stan/sano/Rab23/Patj/Shrm/kmr/frtz/dgo/grh/Rbsn-5/Dhc64C/d/btsz/Frl/ds"
"regulation of cellular response to stress",0.0220820189274448,0.0666225054972326,28,"I","eya/peb/raw/Akt1/Ask1/mbc/syd/p38b/slpr/CG15643/HUWE1/CYLD/Atg9/Rev1/fmt/CG15547/AIMP3/Egm/Clbn/Diap1/ctrip/slim/hppy/Lpin/nonC/rdx/Sac1/Imp"
"negative regulation of intracellular signal transduction",0.0220820189274448,0.0666225054972326,28,"I","ImpL2/peb/raw/ci/Akt1/sty/ATPsynD/p38b/jub/HUWE1/CG6180/Atg9/Sesn/fmt/Mkp3/CG15547/Lztr1/Atg2/Mob4/Diap1/raskol/d/S6kII/RapGAP1/PRAS40/Sac1/ds/cv-c"
"regulation of MAPK cascade",0.0220820189274448,0.0712900509975917,28,"I","peb/raw/Egfr/vn/Ask1/sty/mbc/ATPsynD/syd/slpr/HUWE1/CYLD/CG6180/Atg9/fmt/Mkp3/Vav/Alk/jeb/step/Diap1/slim/S6kII/hppy/spg/rdx/InR/Sac1"
"meiosis I cell cycle process",0.0219853431045969,7.60682987519908e-07,66,"II","aub/chic/fzy/grau/kel/twe/mei-9/mod(mdg4)/mus301/mus304/Blm/mus312/spir/spn-B/spn-D/spn-E/Btk29A/fwd/Klp67A/Xpc/enc/dia/Cul1/Mcm5/lok/mre11/Nup154/fws/SkpA/Nipped-B/Hus1-like/Nup93-1/ball/Ercc1/c(2)M/mei-217/Klp10A/lid/baf/Grip71/CG8679/mms4/tej/krimp/Nup62/Rae1/Msh6/trem/CG6985/p53/CycG/mus81/tefu/nenya/pch2/tef/pds5/gwl/mei-38/zuc/east/Src64B/Det/ghi/sau/Top2"
"neurotransmitter transport",0.021845742309407,0.00603571179730734,49,"III","bw/comt/st/w/Syt1/Rop/Syn/Rab3/CanB/SerT/Snap25/ine/nSyb/GABA-B-R2/Syt4/gammaSnap1/CG15279/NAAT1/Rab3-GEF/Frq1/Syx16/VGlut/CG13794/twit/CG1698/Dyb/Syngr/VGAT/DAT/unc-13-4A/KaiR1D/CDase/Syt7/cpx/prt/Rim/Cadps/Frq2/brp/CG31904/Vmat/Syt12/Sytbeta/Exn/nemy/CG43066/Ih/Fife/Esyt2"
"protein-DNA complex subunit organization",0.0216522318454364,6.53051098221706e-08,65,"II","E(bx)/E(Pc)/e(y)1/dup/hay/mu2/spn-D/Su(var)3-7/Su(var)205/His3.3B/TfIIB/Taf1/Taf6/Taf12/Taf11/Iswi/Arp6/Taf2/TfIIA-S/Set/Nap1/dom/Df31/Taf7/Tip60/CG8677/MRG15/CG5815/Rpt4/Spt6/asf1/Caf1-180/Saf6/Tfb4/CG31917/Daxx/Gas41/YL-1/MrgBP/mars/DMAP1/enok/HipHop/Ssl1/Hat1/Pbp95/M1BP/CG8223/TAF1B/BigH1/Pbp45/cal1/CG18600/XNP/Brd8/rept/pont/Chrac-14/His1:CG33861/Pbp49/mrn/Xpd/Mi-2/Caf1-55/Tfb5"
"oocyte axis specification",0.0216522318454364,0.000277053852136851,65,"II","aub/baz/BicD/Pka-C1/chic/cni/cup/ea/flw/fs(1)K10/grk/dlg1/wek/l(2)gl/mago/ndl/Ras85D/spir/spn-E/spz/Sry-delta/stau/swa/Tm1/Hrb27C/enc/orb/heph/Syx1A/Lis-1/Rab11/csul/mael/14-3-3epsilon/asun/DCTN2-p50/Vps25/Rok/gus/Grip75/CSN5/papi/tsu/tej/krimp/TBCB/DCP1/CG7483/CG9925/armi/spn-F/Pka-R1/capt/lic/aPKC/cic/milt/psq/vret/scrib/sqd/jvl/qin/rump/Ge-1"
"negative regulation of cell cycle",0.0213191205862758,1.96613035168588e-07,64,"II","brm/dup/mor/mus101/mus304/pum/smo/Cdk1/B52/wapl/Dsor1/Mad/Wee1/l(2)dtl/Mtor/mof/lok/Gcn2/14-3-3epsilon/mre11/aurB/Bub3/Rad17/Mad1/Hus1-like/RecQ5/spidey/Aven/CG8173/Mnn1/CG5181/BuGZ/CG10336/geminin/CG15237/mms4/Mos/mad2/Cdc6/CG17816/Tctp/timeout/Hexim/CG5466/CycG/mus81/armi/Chro/tefu/Rif1/pch2/Claspin/Zwilch/mnb/pds5/RfC4/asl/grp/nej/Xpd/Mi-2/CG43295/BubR1/gpp"
"ribonucleoprotein complex subunit organization",0.0213191205862758,6.67878072666656e-05,64,"II","bru1/crn/SmF/RpS14a/RpS14a/me31B/ppan/Gem3/sip1/RpL10/Prp18/hfp/icln/MCTS1/CG3198/RpS28b/CG1463/eIF5/DENR/Usp39/Sf3b1/CG9107/r2d2/mRpS7/loqs/Prp8/RpS15/Dcr-2/CG3594/CG13807/CG11583/CG4022/CG8336/Sf3a2/Prp31/Smn/CG7564/Nufip/Gem2/eIF3a/CG1965/CG10055/hyx/RpS5b/Non3/CG11447/RpS19b/RpS27/RpL6/rept/pont/armi/CG32706/Dbp21E2/pea/rig/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/AGO1/l(3)72Ab/Rpb4"
"mitotic sister chromatid segregation",0.0213191205862758,0.000126406014890023,64,"II","aub/CycA/CycB/Hmr/mr/ncd/pim/polo/spn-E/sub/thr/Pp1-87B/Klp61F/Klp67A/shtd/tws/Mtor/prod/glu/Lis-1/chb/DCTN2-p50/san/aurB/Bub3/Cdc16/Rok/Mad1/Nipped-B/Su(var)2-HP2/Eb1/Kmn1/RecQ5/SMC2/ball/Klp10A/Fign/Spindly/Nuf2/borr/BuGZ/CG15237/Slik/Sse/mad2/nudE/Mau2/spas/Mink/Kat60/cana/Chro/Haspin/Nnf1b/APC4/Zwilch/tum/Spc25/lmgA/pds5/vtd/Incenp/BubR1/Top2"
"cellular component disassembly",0.0213191205862758,0.035209538057244,64,"II","car/DNaseII/dor/flw/lt/twe/Pp1alpha-96A/ref(2)P/Sod1/Pp1-87B/Klp67A/cpb/tsr/Vps25/sip1/Drep1/Hus1-like/Apc2/Drep4/Vha100-1/fab1/Pink1/Atg5/Klp10A/Fign/CG5676/Atg18b/Gle1/mIF3/CG8155/Dcr-2/Atg7/Pym/Usp5/ntc/Atg18a/Cep135/Atg3/eRF1/aux/CG1965/CG11975/ema/Vps39/spas/atl/Sid/Fis1/Kat60/ago/mask/CG31495/Tengl3/CG31715/Vps11/Atg8a/pea/alphaSnap/Atg1/Patronin/Vamp7/stai/Vps4/eEF5"
"urogenital system development",0.0212933753943218,2.22703715995709e-05,27,"I","ac/dpp/fkh/hth/odd/pnr/pnt/raw/rib/shn/sna/sog/Egfr/tsh/sc/zfh1/insc/mbc/sns/brk/Doc2/sav/crb/trh/da/wg/cv-c"
"renal system development",0.0212933753943218,2.22703715995709e-05,27,"I","ac/dpp/fkh/hth/odd/pnr/pnt/raw/rib/shn/sna/sog/Egfr/tsh/sc/zfh1/insc/mbc/sns/brk/Doc2/sav/crb/trh/da/wg/cv-c"
"photoreceptor cell fate commitment",0.0212933753943218,0.000353316024924781,27,"I","aop/dpp/emc/hth/Jra/Sos/pnt/Egfr/ttk/oc/pros/ey/noc/dpn/babo/msi/wts/phyl/rin/ast/gbb/Socs36E/sav/grh/kibra/spg/PDZ-GEF"
"regulation of tube architecture, open tracheal system",0.0212933753943218,0.0013869940032187,27,"I","dpp/fj/ft/peb/Egfr/ttk/shot/CCT3/Rbcn-3A/stan/gammaCOP/deltaCOP/sano/Blimp-1/Mkp3/grh/Dhc64C/Sec23/Sec24CD/garz/Mtp/btsz/Mcr/Sac1/ds/btl/cv-c"
"regulation of cell motility",0.0212933753943218,0.0013869940032187,27,"I","Ama/aop/robo2/peb/Egfr/ttk/ptc/vn/hh/robo1/hep/Akt1/Sema1a/fra/bnl/mbc/Sin3A/CG9784/ths/unc-5/Lrt/tai/Diap1/sli/CG44774/InR/Sema5c"
"neuroblast proliferation",0.0212933753943218,0.00192424668428664,27,"I","btd/E(z)/Hsp83/wor/E(spl)mdelta-HLH/E(spl)mgamma-HLH/pnt/sna/pros/hh/dpn/jar/babo/insc/wts/klu/Apc/Dap160/msps/Fmr1/erm/clu/bun/Mob4/Dhc64C/wake/InR"
"gliogenesis",0.0212933753943218,0.00192424668428664,27,"I","Ama/Dr/bnb/so/pros/hh/ey/fra/wts/Pex1/bnl/gcm/sty/Nf1/gcm2/stumps/ths/unc-5/yki/RIOK2/spin/salm/vnd/kibra/fzr/sli/btl"
"programmed cell death involved in cell development",0.0212933753943218,0.00467545060953428,27,"I","ec/fkh/kto/rst/Egfr/hid/Itpr/klu/Pi3K59F/Apc/Tor/drpr/raptor/AIF/Atg9/Atg17/wun2/Atg2/Tre1/sav/spin/Diap1/Vps15/bel/Atg6/Bruce/wg"
"compound eye photoreceptor development",0.0212933753943218,0.00467545060953428,27,"I","eya/sens/ttk/oc/Ten-m/wts/sty/stan/Rip11/Rich/seq/p47/yki/rno/Alk/Liprin-alpha/sav/jeb/grh/Mob2/crb/didum/kibra/PIG-S/PDZ-GEF/Kr-h1/Sec6"
"dorsal closure",0.0212933753943218,0.0070187269699434,27,"I","aop/dpp/emc/Jra/peb/raw/rib/shn/srp/Egfr/hep/jar/shot/Shark/mbc/pcm/gbb/slpr/Vav/step/crb/Ack-like/PDZ-GEF/Mcr/Sac1/wg/cv-c"
"eye photoreceptor cell development",0.0212933753943218,0.0070187269699434,27,"I","eya/sens/ttk/oc/Ten-m/wts/sty/stan/Rip11/Rich/seq/p47/yki/rno/Alk/Liprin-alpha/sav/jeb/grh/Mob2/crb/didum/kibra/PIG-S/PDZ-GEF/Kr-h1/Sec6"
"heart development",0.0212933753943218,0.00922788992868637,27,"I","abd-A/Abd-B/dpp/robo2/mam/pnr/pnt/slp1/srp/trx/ush/hh/ci/robo1/Mef2/betaggt-I/fz2/p38b/CHES-1-like/yki/Doc2/Fit2/pan/spdo/mid/sli/wg"
"circulatory system development",0.0212933753943218,0.00922788992868637,27,"I","abd-A/Abd-B/dpp/robo2/mam/pnr/pnt/slp1/srp/trx/ush/hh/ci/robo1/Mef2/betaggt-I/fz2/p38b/CHES-1-like/yki/Doc2/Fit2/pan/spdo/mid/sli/wg"
"negative regulation of growth",0.0212933753943218,0.01192495434886,27,"I","fkh/ft/Scm/ex/Akt1/Sema1a/wts/mirr/Nf1/Fak/WASp/TBPH/Fmr1/raptor/hiw/SCCRO3/Sesn/Larp4B/Fbxl7/sav/Mob2/Mob4/crb/kibra/Rabex-5/Sema5c/btl"
"cellular response to growth factor stimulus",0.0212933753943218,0.0218529993897974,27,"I","aop/cv-2/dpp/Sos/pnt/shn/sog/tsg/Ptp4E/babo/bnl/sty/Shc/stumps/gbb/brk/p38b/hiw/CG13398/ths/lbk/spin/grh/Lpin/PRAS40/ltl/btl"
"response to growth factor",0.0212933753943218,0.0242883333589697,27,"I","aop/cv-2/dpp/Sos/pnt/shn/sog/tsg/Ptp4E/babo/bnl/sty/Shc/stumps/gbb/brk/p38b/hiw/CG13398/ths/lbk/spin/grh/Lpin/PRAS40/ltl/btl"
"reproductive behavior",0.0209540793580027,0.000758720910210658,47,"III","eag/Gld/Poxn/rut/Sh/slo/ss/tipE/w/5-HT1A/5-HT7/Syn/fru/ple/bol/EbpIII/Rac2/tim/Drip/mGluR/Pdf/Oamb/Nep2/qtc/SPR/ppk23/fipi/Nlg2/Dh31/CG10433/Ktl/hdly/prt/Tdc2/shep/pain/fne/TfAP-2/dati/orb2/CaMKII/Pde1c/Nrg/mbl/lov/Tmc/para"
"regulation of RNA splicing",0.0206528980679547,1.63019832263572e-06,62,"II","bru1/crn/fl(2)d/Hrb98DE/eIF4A/snf/vir/Pep/B52/Hrb27C/U2af50/Rox8/Dbp45A/Parp/Rsf1/Hel25E/Psi/U2af38/dom/qkr58E-3/qkr58E-2/Parg/Srp54/ssx/SF1/l(1)G0007/Ythdc1/CG4119/x16/hfp/asf1/CG15747/CG6227/Tnpo-SR/Caper/Mettl14/Lsm11/cbc/BI-1/Cpsf6/CG10418/Srrm1/CG14641/CG2926/obe/mdlc/CG5728/Saf-B/CG17454/Spf45/pea/Larp7/Rbp1/Prp19/snRNP-U1-C/Ire1/sqd/l(3)72Ab/Doa/Sf3a1/HnRNP-K/SF2"
"DNA recombination",0.0206528980679547,5.97417391181129e-06,62,"II","mei-9/mago/DNApol-zeta/mus304/Blm/mus312/spn-B/spn-D/spn-E/Su(var)2-10/Xpc/piwi/spel1/tos/Mcm5/mre11/Mcm7/Pp4-19C/CG14803/Mcm6/Nipped-B/Hus1-like/RecQ5/Ercc1/c(2)M/mei-217/CG4078/Caf1-180/cerv/Pif1/Nse1/CG5181/RPA2/CG8679/tsu/mms4/CG9062/rad50/CG3448/dgrn/RnpS1/BigH1/trem/CG6985/p53/Sld5/mus81/Ku80/nenya/pch2/SMC5/His1:CG33861/mei-38/vtd/Xpd/Psf2/Nup160/Acn/koi/RPA3/Sem1/Top2"
"embryonic axis specification",0.0206528980679547,0.000699370205368605,62,"II","aub/baz/bcd/Pka-C1/chic/csw/cup/fs(1)K10/grk/hb/dlg1/l(2)gl/mago/pum/Ras85D/rl/sax/spir/spn-E/Sry-delta/stau/swa/Tm1/tor/RasGAP1/fs(1)h/Hrb27C/enc/orb/fs(1)M3/Dsor1/pll/Syx1A/ksr/Rab11/csul/mael/DCTN2-p50/Vps25/gus/Grip75/CSN5/Mkrn1/papi/tsu/tej/krimp/DCP1/CG7483/CG9925/armi/spn-F/lic/aPKC/cic/psq/vret/scrib/sqd/qin/rump/Ge-1"
"cell recognition",0.0205082478823005,0.0197258892282836,46,"III","Fas2/Fas3/Glt/if/Gli/Ptp99A/mew/fru/eIF2beta/Con/hig/emp/Wnt4/tutl/beat-Ia/Nrx-IV/CadN/NetB/CG7179/bdl/beat-Ic/CG6867/Dscam1/Mmp2/Drl-2/wdp/Mmp1/CG12004/slow/CG6024/tey/lectin-28C/robo3/Trim9/Pvf3/dpr12/beta-Spec/pot/mmy/Dscam3/nrm/esn/Sema2b/CG44153/Dscam2/trol"
"muscle organ development",0.0205047318611987,0.00156283690535911,26,"I","abd-A/Abd-B/dpp/Dr/rst/vg/Mef2/drl/mbc/sns/gbb/WASp/Grip/raptor/kon/ths/pcs/lmd/Alk/jeb/C3G/salm/Sec23/Sec24CD/ab/wg"
"regulation of cell migration",0.0205047318611987,0.00156283690535911,26,"I","Ama/aop/robo2/peb/Egfr/ttk/ptc/vn/hh/robo1/hep/Akt1/Sema1a/fra/bnl/mbc/Sin3A/ths/unc-5/Lrt/tai/Diap1/sli/CG44774/InR/Sema5c"
"establishment of planar polarity",0.0205047318611987,0.00252806931457482,26,"I","aop/ec/fj/ft/Jra/peb/pnt/Egfr/mirr/sty/SMC3/rin/Vang/stan/sano/Patj/Shrm/kmr/frtz/dgo/grh/Rbsn-5/d/btsz/Frl/ds"
"establishment of tissue polarity",0.0205047318611987,0.00252806931457482,26,"I","aop/ec/fj/ft/Jra/peb/pnt/Egfr/mirr/sty/SMC3/rin/Vang/stan/sano/Patj/Shrm/kmr/frtz/dgo/grh/Rbsn-5/d/btsz/Frl/ds"
"cellular response to external stimulus",0.0205047318611987,0.00536097429777371,26,"I","hid/Itpr/Rel/Pi3K59F/Tor/raptor/rictor/RagC-D/Atg9/Lst/Sesn/Atg17/HDAC4/Atg2/Sec16/spin/Mob4/Vps15/Myc/Mitf/Lpin/Atg6/Piezo/Bruce/InR/Vps16A"
"mesoderm development",0.0205047318611987,0.00616188496256575,26,"I","abd-A/Abd-B/bib/eya/dpp/E(spl)m8-HLH/mam/shn/slp1/sna/srp/zfh1/hh/Mef2/stumps/foi/mthl1/ths/pcs/Alk/pan/Myo31DF/jeb/wb/sli/wg"
"regulation of cell size",0.0205047318611987,0.0157967937634635,26,"I","Sos/Akt1/Sema1a/shot/Rbf/Vang/Pi3K21B/Tor/stan/p38b/RhoGAP1A/Madm/Fmr1/raptor/rictor/Best1/Alk/Liprin-alpha/pico/Myc/hppy/btsz/S6k/InR/Sema5c/btl"
"muscle cell differentiation",0.0205047318611987,0.0226257555065712,26,"I","abd-A/aop/fliI/pnt/rst/zfh1/Mef2/Hem/sty/mbc/sns/WASp/CG13366/siz/C1GalTA/kon/pcs/lmd/Vav/SCAR/Mical/Lasp/jeb/C3G/sing/hts"
"negative regulation of programmed cell death",0.0205047318611987,0.0471204083337891,26,"I","eya/en/fkh/sens/Met/pnt/Egfr/sc/Akt1/Apc/Rbf/pcm/Tor/syd/E2f2/TBPH/CG4230/CG17019/yki/CG15547/psidin/bun/Diap1/Ubr3/Bruce/Duox"
"endosomal transport",0.0205047318611987,0.0777024112146524,26,"I","kst/ex/scat/Past1/Tor/Dap160/Sbf/Sara/Rich/Grip/TBC1D23/CG17660/CG13784/wash/FAM21/Vps20/Eps-15/RhoGAP68F/Als2/CG7956/SH3PX1/lap/l(2)gd1/Sec5/Sec6/Vps16A"
"regulation of neuromuscular junction development",0.0205047318611987,0.0843802596055929,26,"I","Akt1/Nf1/Fak/Tor/gbb/WASp/TBPH/drpr/Fmr1/raptor/hiw/rictor/Sin1/Eps-15/RhoGAP68F/wnd/Arfip/RhoGAP92B/spin/Mob2/Mob4/S6kII/Nsf2/Sec8/Pi4KIIIalpha/btl"
"nucleobase-containing compound transport",0.0203197868087941,4.57788590451716e-05,61,"II","Arl1/BicD/Sap-r/e(y)2/egh/lt/ncd/sbr/sesB/U2af50/Nup214/Ref1/Mtor/Hel25E/Nup154/DCTN2-p50/Cbp80/Dbp80/mbo/Nup93-1/Nxt1/CG9915/CG18259/CG6961/tho2/CG8671/Gle1/Phax/Arc1/Nup62/Dcr-2/Rae1/thoc5/thoc7/ZC3H3/PCID2/thoc6/nxf2/Papst2/Tom20/Hpr1/CG8149/CG14712/Nup93-2/CG4572/Nup133/Nup98-96/Nup358/Nup153/meigo/Snup/Bet3/Mat89Ba/RASSF8/Nup160/Vha16-1/Nxf3/sqd/Rpb4/Sem1/SF2"
"ribonucleoprotein complex assembly",0.0203197868087941,0.000123676197237228,61,"II","bru1/crn/SmF/RpS14a/RpS14a/me31B/ppan/Gem3/RpL10/Prp18/hfp/icln/MCTS1/CG3198/RpS28b/CG1463/eIF5/DENR/Usp39/Sf3b1/CG9107/r2d2/mRpS7/loqs/Prp8/RpS15/Dcr-2/CG3594/CG13807/CG11583/CG4022/CG8336/Sf3a2/Prp31/Smn/CG7564/Nufip/Gem2/eIF3a/CG10055/hyx/RpS5b/Non3/CG11447/RpS19b/RpS27/RpL6/rept/pont/armi/CG32706/Dbp21E2/rig/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/AGO1/l(3)72Ab/Rpb4"
"tripartite regional subdivision",0.0203197868087941,0.000584500400727603,61,"II","aub/baz/bcd/Pka-C1/chic/csw/cup/fs(1)K10/grk/hb/dlg1/l(2)gl/mago/pum/Ras85D/rl/sax/spir/spn-E/Sry-delta/stau/swa/Tm1/tor/RasGAP1/fs(1)h/Hrb27C/enc/orb/fs(1)M3/Dsor1/Syx1A/ksr/Rab11/csul/mael/DCTN2-p50/Vps25/gus/Grip75/CSN5/Mkrn1/papi/tsu/tej/krimp/DCP1/CG7483/CG9925/armi/spn-F/lic/aPKC/cic/psq/vret/scrib/sqd/qin/rump/Ge-1"
"anterior/posterior axis specification, embryo",0.0203197868087941,0.000584500400727603,61,"II","aub/baz/bcd/Pka-C1/chic/csw/cup/fs(1)K10/grk/hb/dlg1/l(2)gl/mago/pum/Ras85D/rl/sax/spir/spn-E/Sry-delta/stau/swa/Tm1/tor/RasGAP1/fs(1)h/Hrb27C/enc/orb/fs(1)M3/Dsor1/Syx1A/ksr/Rab11/csul/mael/DCTN2-p50/Vps25/gus/Grip75/CSN5/Mkrn1/papi/tsu/tej/krimp/DCP1/CG7483/CG9925/armi/spn-F/lic/aPKC/cic/psq/vret/scrib/sqd/qin/rump/Ge-1"
"regulation of MAPK cascade",0.0203197868087941,0.00820377870365046,61,"II","ben/crc/flw/PpV/Ras85D/sl/tor/Rap1/Rac1/Cdc42/msn/poe/cpb/Cdc37/MAPk-Ak2/ksr/PTP-ER/Usp47/Cbl/Mekk1/Crk/SkpA/mbt/Tak1/ics/Lnk/RhoGAP5A/Tao/MKP-4/Mnn1/Ufd4/Nf-YB/Dhx15/Mos/Gbp1/sigmar/Usp5/Uev1A/CG14184/PEK/M1BP/Kcmf1/Lkb1/Ccm3/PSR/CG7054/XNP/pont/krz/ave/ALiX/tum/alph/cno/hpo/ebi/smt3/Src42A/Traf6/Ptp61F/Pak"
"regulation of proteolysis",0.0203197868087941,0.0467436887647839,61,"II","bam/bur/Pka-C1/fzy/eIF4A/dco/sina/pll/poe/CkIalpha/Cul1/Usp47/ari-1/lok/Drice/EloB/SkpA/Roc1a/CG14812/Dronc/Axn/Apc2/STUB1/CSN5/CSN4/Tnks/Spn88Ea/Spn27A/UbcE2H/CG8974/CG15445/Ufd4/Nedd8/Pomp/Cul2/PI31/DUBAI/muskelin/eIF3m/CG8405/Usp5/ntc/CG8209/Rnf146/ScsbetaA/Kcmf1/p53/CG5111/sip3/wds/krz/ago/CG32039/CG32176/pen-2/Ube3a/scny/CSN8/hpo/ebi/Cyt-c-p"
"sensory perception of chemical stimulus",0.0200624164065983,0.000351973283231494,45,"III","eag/Galphas/if/Sh/Klp64D/mew/Oct-TyrR/TkR99D/Galphaf/Obp28a/Dyrk2/geko/dpr18/Ir25a/dpr19/Obp44a/dpr13/Obp56a/Obp56d/dpr20/Or71a/Desi/dpr5/ATP8B/dpr15/dpr9/Obp99a/Obp99c/Obp99d/Obp99b/dpr1/Obp83g/Obp83ef/Obp83cd/dpr17/dpr10/dpr8/dpr11/dpr7/dpr4/dpr3/dpr12/pdm3/Ggamma30A/Tmc"
"establishment of RNA localization",0.0199866755496336,2.51433779202755e-08,60,"II","Arl1/BicD/Sap-r/e(y)2/egh/lt/ncd/sbr/U2af50/Nup214/Ref1/Mtor/Hel25E/smg/Nup154/DCTN2-p50/Cbp80/Dbp80/mbo/Nup93-1/Nxt1/CG9915/CG18259/CG6961/tho2/CG8671/Gle1/tsu/Phax/Arc1/Nup62/Dcr-2/Rae1/thoc5/thoc7/ZC3H3/PCID2/thoc6/nxf2/Tom20/Hpr1/CG8149/CG14712/Nup93-2/CG4572/Nup133/Nup98-96/Nup358/Nup153/Snup/Bet3/Mat89Ba/RASSF8/Nup160/Vha16-1/Nxf3/sqd/Rpb4/Sem1/SF2"
"cell-cell signaling by wnt",0.0199866755496336,0.0166691859036049,60,"II","arm/dor/dsh/flw/gro/dco/hyd/Pp1alpha-96A/Pp1-87B/mts/tws/por/gig/Eip63E/Ssdp/nmo/Rho1/Vps26/CkIalpha/Cul1/Usp47/spen/CtBP/SkpA/Roc1a/Cdc16/Axn/Apc2/Tnks/botv/Nulp1/sotv/Nek2/Hrs/CycY/Gint3/Vps35/wls/mop/Rnf146/CG11523/hyx/Snx3/RanBP3/lgs/rept/pont/Prosap/dlp/pygo/eca/tum/gish/Sec22/hpo/lic/nej/osa/ttv/RpS12"
"positive regulation of cellular component biogenesis",0.0199866755496336,0.0324546657326791,60,"II","Abl/chic/Lar/Mybbp1A/dlg1/dco/sax/shi/stau/Su(var)3-7/Su(var)205/svr/hop/piwi/Rac1/Cdc42/Sdc/dia/cpb/Mad/nmo/Cul1/pgc/Stat92E/chb/trio/CG12179/Bap60/SkpA/DAAM/Top3beta/Rok/par-6/Ulp1/Rpt4/CHORD/Rab35/Panx/Abp1/Smn/Sra-1/CG7218/Nup98-96/spas/CG15456/Atx2/Jupiter/Synd/HSPC300/egg/kra/mnb/Nedd4/Su(var)3-3/CoRest/aPKC/Arp3/Fhos/Pak/caz"
"Golgi vesicle transport",0.0199866755496336,0.099752668894917,60,"II","Arl1/cni/g/or/spir/boca/Klp61F/Arf79F/Rab2/Rab11/Rab14/fws/CG4293/fidipidine/Crag/CG16865/Arfrp1/Gga/GABPI/PAPLA1/PGAP5/CG4953/Cog4/CG9067/Vps51/GM130/CG13887/wls/CG5946/CG7011/ArfGAP3/CG11753/CG9356/GCC88/GCC185/Snx3/SIDL/CG5510/Golgin84/CG5447/CG17883/p115/Gos28/Lerp/CG31495/CG31729/CG32069/eca/alphaSnap/l(3)76BDm/Sec22/Ykt6/Bet3/Vti1a/Rab8/Vti1b/Sec3/Sec15/Snap24/sau"
